title,cleaned_description,cluster,topic
"Election Results 2024 | BJP To Retain Arunachal Pradesh, SKM Set For Sikkim Sweep","The results for the assembly elections in Arunachal Pradesh and Sikkim will be announced today. The BJP is likely to retain Arunachal Pradesh, while the Sikkim Krantikari Morcha (SKM) is all set for a second term in the northeastern state. Voting was held for 60 assembly seats in Arunachal Pradesh and 32 assembly seats in Sikkim on April 19. In Arunachal Pradesh, results will be declared today for just 50 seats, with Chief Minister Pema Khandu eyeing a third term. The ruling BJP has already won ten assembly seats unopposed. The BJP has put up candidates for all 60 seats of the Arunachal Pradesh Assembly, while the Congress is contesting on 34 seats.                   ",0,arunachal assembly pradesh seats sikkim
"Jadavpur Poll Violence | Violence During Final Phase Voting In Bengal, EVM Tossed Into Pond","Polling is underway for the nine Lok Sabha constituencies in West Bengal in the seventh phase on Saturday, marked by reports of violence and tension across various areas. Clashes were reported in the Satuliya area in Bhangar, within the Jadavpur constituency near Kolkata, between the Indian Secular Front (ISF) and CPI(M) supporters. The confrontation led to several injuries among ISF members, exacerbated by the presence of country-made bombs.                      ",1,bengal isf jadavpur phase violence
Exit Poll Numbers 2024 | NDTV's Editor-In-Chief Sanjay Pugalia Decodes Exit Poll Results,"NDTV Poll Of Polls: A historic third term for Prime Minister Narendra Modi -- that's what exit polls are predicting as the seventh and the last phase of Lok Sabha election concluded this evening. None, though, have yet carried the NDA across its dream score of 400 of 543 Lok Sabha seats. The BJP, too, has been placed far short of its 370-seat target. The INDIA bloc, five exit polls predicted, will fall massively short of the 285 seats predicted by Congress chief Mallikarjun Kharge this evening. Watch NDTV's Editor-In-Chief Sanjay Pugalia's take on the exit poll results.                  ",2,chief exit ndtv poll polls
"Exit Polls Numbers | NDA To Get Over 350 Seats, INDIA Bloc 125-150: Poll Of 4 Exit Polls","Poll Of Exit Polls: One exit poll predicts big win for the BJP. Prime Minister Narendra Modi will return for a third term, NDA will get 371 seats, predicts India News- D-Dyanimcs exit poll. NDA sweep is predicted by Republic Bharat- P Marq (359) and India News- D-Dyanimcs (371).                 ",3,exit india nda poll polls
"Prajwal Revanna Arrested | Sex Crimes Accused Prajwal Revanna Arrested | Top Headlines: May 31, 2024","Hassan MP Prajwal Revanna, who is accused of sexually assaulting multiple women, has been arrested after his flight from Germany's Munich landed at the Bengaluru airport in the early hours of Friday.  The Janata Dal (Secular) leader, who is also the candidate from the Hassan Lok Sabha seat, had left for Germany on April 27, a day after polling in his constituency. Videos allegedly showing him sexually assaulting the women had surfaced the same day.  Mr Revanna, who is the grandson of former prime minister HD Deve Gowda and nephew of former Karnataka chief minister HD Kumaraswamy, was aboard Lufthansa flight LH0764, which landed at the Kempegowda International Airport.        ",4,arrested minister prajwal revanna women
"Donald Trump Convicted In Hush Money Case | Top Headlines From Across The Globe: May 30, 2024",A New York jury convicted Donald Trump on all charges in his hush money case Thursday in a seismic development barely five months ahead of the election where he seeks to recapture the White House.  The first criminal trial of a former US president ended with the 77-year-old Trump found guilty on each of the 34 counts of falsifying business records to hide a payment meant to silence porn star Stormy Daniels.          ,5,case convicted hush money trump
"PM Modi In Kanniyakumari | Campaigning Ends, PM Reaches Kanniyakumari For 2-Day Meditation Session","PM Modi In Kanniyakumari | Prime Minister Narendra Modi has reached Kanniyakumari, where he will meditate at the Vivekananda Rock memorial from this evening to Saturday evening.   The Prime Minister will meditate at the Dhyan Mandapam, the same spot where the Hindu philosopher-saint Swami Vivekananda had meditated in 1892 to get a clear vision of the future of India.   It is also the meeting point of the Indian Ocean, Bay of Bengal and the Arabian Sea and BJP leaders said the choice of Kanniyakumari gives out a signal of national unity.            ",6,kanniyakumari meditate modi pm vivekananda
"Opposition On PM Modi Meditation, Heatstroke Death In Delhi, Pune Accident Cover-Up | NDTV Podcast","Coming up in today’s episode, police hint at a cover-up by the mother of the alleged drunk teen driver who killed two in Pune as hospital dean levels serious allegations against members of the ruling government, PM Modi’s historic election campaign trail, Congress files a complaint with ECI against PM Modi’s alleged model code violation including his 45-hour meditation plan at Vivekananda Rock, Delhi reports the first heatstroke death, Flash floods wreak havoc in Manipur after Cyclone Remal, China convicts 14 pro-democracy activists under National Security Law, and Indian space start-up’s successful test of ‘Agniban’               ",7,death delhi modi pm pune
Lok Sabha Elections 2024 | Voting In 9 TMC Stronghold Seats Go To Polls In The Final Phase,"All 9 Seats In Bengal to go to polls in the final phase of Lok Sabha Elections. Mamata Banerjee's Trinamool Congress had sweeped the polls in 2019 elections by winning all 9 Seats in the state. Some of the most interesting contests in Bengal are Tapas Roy And Sudip Bandopadhyay from the Kolkata North seat, BJP's Rekha Patra will be contesting against TMC's Haji Narul Islam in the Baisarhat Constituency.          ",8,elections lok polls seats tmc
"Pune Porsche Case Update | Top Headlines Of The Day: May 30, 2024","Lending credence to allegations of political meddling, the dean of Pune's Sassoon Hospital has claimed that one of the doctors accused of replacing the blood samples of the teenager behind the Porsche accident had been made the head of the forensic department at the insistence of a state minister and an MLA.   The legislator, Sunil Tingre, was also accused of visiting the Yerwada police station after the crash - in which two IT professionals were killed - and pressuring officials to go easy on the case.   Addressing a press conference on Wednesday, the hospital's dean, Vinayak Kale, said Maharashtra Medical Education Minister Hasan Mushrif and Mr Tingre had written a letter and asked for Dr Ajay Tawade to be made the head of Sassoon Hospital's Forensic Medicine Department. Both Mr Mushrif and the MLA are from the Ajit Pawar faction of the Nationalist Congress Party, which is in power in Maharashtra in an alliance with the BJP and the Eknath Shinde faction of the Shiv Sena.                  ",9,hospital maharashtra mr mushrif porsche
